"id","list","added_date","added_by","threat_type","notes"
1,"101nitro.com
1111sale.us
15dfjkbvdf.club
17ebook.com
1month-premium.com
1nitro.club
1ownandfresh1.com
1payxperxinst1.com
1redirb.com
1ts11.top
1tvv.ru
1wat.ru
2012-drakon.ru
2012-god.ru
2015-god-kozy.ru
2021cs.net.ru
2021y.ru
2022yg.com
","2025-05-23 15:57:04",system,malicious,
2,"101nitro.com","2025-05-23 15:57:04",system,malicious,
3,"1111sale.us","2025-05-23 15:57:04",system,malicious,
4,"15dfjkbvdf.club","2025-05-23 15:57:04",system,malicious,
5,"17ebook.com","2025-05-23 15:57:04",system,malicious,
6,"1month-premium.com","2025-05-23 15:57:04",system,malicious,
7,"1nitro.club","2025-05-23 15:57:04",system,malicious,
8,"1ownandfresh1.com","2025-05-23 15:57:04",system,malicious,
9,"1payxperxinst1.com","2025-05-23 15:57:04",system,malicious,
10,"1redirb.com","2025-05-23 15:57:04",system,malicious,
11,"1ts11.top","2025-05-23 15:57:04",system,malicious,
12,"1tvv.ru","2025-05-23 15:57:04",system,malicious,
13,"1wat.ru","2025-05-23 15:57:04",system,malicious,
14,"2012-drakon.ru","2025-05-23 15:57:04",system,malicious,
15,"2012-god.ru","2025-05-23 15:57:04",system,malicious,
16,"2015-god-kozy.ru","2025-05-23 15:57:04",system,malicious,
17,"2021cs.net.ru","2025-05-23 15:57:04",system,malicious,
18,"2021y.ru","2025-05-23 15:57:04",system,malicious,
19,"2022yg.com","2025-05-23 15:57:04",system,malicious,
20,"2023g.com","2025-05-23 15:57:04",system,malicious,
21,"23c7481e.hbrex.cn","2025-05-23 15:57:04",system,malicious,
22,"2discord.ru","2025-05-23 15:57:04",system,malicious,
23,"2faceteam.ml","2025-05-23 15:57:04",system,malicious,
24,"2no.co","2025-05-23 15:57:04",system,malicious,
25,"37.1.209.213","2025-05-23 15:57:04",system,malicious,
26,"3black.info","2025-05-23 15:57:04",system,malicious,
27,"3ds-security.xyz","2025-05-23 15:57:04",system,malicious,
28,"411medias.com","2025-05-23 15:57:04",system,malicious,
29,"4gameranking.com","2025-05-23 15:57:04",system,malicious,
30,"50checkingyourtraffic.com","2025-05-23 15:57:04",system,malicious,
31,"546cd327-cyber-lan.site","2025-05-23 15:57:04",system,malicious,
32,"546cd327-www.cyber-lan.site","2025-05-23 15:57:04",system,malicious,
33,"60255.xyz","2025-05-23 15:57:04",system,malicious,
34,"7a1fe62a-discorcd-app.com","2025-05-23 15:57:04",system,malicious,
35,"7a1fe62a-www.discorcd-app.com","2025-05-23 15:57:04",system,malicious,
36,"7dgw.com","2025-05-23 15:57:04",system,malicious,
37,academy-beta.com,"2025-05-23 15:57:04",system,malicious,
38,academy-discord-hypesquad.com,"2025-05-23 15:57:04",system,malicious,
39,academy-discord-renew.com,"2025-05-23 15:57:04",system,malicious,
40,academy-discord.com,"2025-05-23 15:57:04",system,malicious,
41,academy-form-test.com,"2025-05-23 15:57:04",system,malicious,
42,academy-form.com,"2025-05-23 15:57:04",system,malicious,
43,academy-formulary.com,"2025-05-23 15:57:04",system,malicious,
44,academy-hypesquad.com,"2025-05-23 15:57:04",system,malicious,
45,academy-join.com,"2025-05-23 15:57:04",system,malicious,
